source_key,source_page,source_position,name,comment,created_at
gameslice:p58:c9,58,9,Nick,"I am a young person, i was just becomeing a teenager when portal came out with the orange box. I still love the seris, and this book proves to myself, that my dream of oneday working for Valve might just come true.",2011-05-23 17:41:00
gameslice:p58:c10,58,10,Bogdan Potapov,"Everything was great..I'm a big fan of Valve since 1999..Your games are art, that's why I'm still with you..Of course, I can't wait for Half-Life episode3, or even HL3..I'll wait as long as it will take you..And of course, Portal 2-one of greatest and funniest game ever..
Thank you, Valve!",2011-05-23 17:25:00
gameslice:p59:c1,59,1,dmitryi,plese add russian langle,2011-05-23 16:33:00
gameslice:p59:c2,59,2,Julio Cesar (BR),"Source Engine have to be ported to iOS !



And I hope to have Half-Life 3 in this year, at most next year.
At least one prior!",2011-05-23 16:27:00
gameslice:p59:c3,59,3,Eduardo López Hinton,"Well, how to start?
Maybe with my Steam recommendation: ""I'm not only recommending a game, but a Digital Book: videos, perfect structuration of texts, polls, dynamic images, and all that is behind the creation of a masterpiece. Just for seeing how Valve is from inside, to see the human side, human persons working hard to do their best (what is -or should be- part of every job)... it's absolutely worth it. We, gamers, we only see the surface of a lot of efford and work, and we jugde and sentece with no mercy... And here is where you can realise how much has been putted into it, and how proud they can be of the job done"".
And I would like to add that I'm very impressed by Erik Wolpaw. I don't know much about programming, I do play videogames since the very beginning (I'm 37), sometimes they have been an escape, a substitute to reality, and sometimes -like this times-, I start to see the games like some new forms of Literature. I do study Literature (Spanish), and I comitted my life to Storytelling, and the pure joy of listen, tell, read, watch, (and yes, play) amazing, deep and touching stories. I do have ulcerative colitis since I was 18, and I felt very impressed by Erik Wolpaw. I do understand his hesitations, his lack of forces, and the effords he had to do and how much he had to suffer to achieve his objectives. 
I would like him to know that I profoundly admire him, and how he tried to do his best, no matter his circumstances. 

And I am very glad all of you did what you have done. 
You can be very proud of it, and I am very glad of knowing you. This Digital Book has showed me a lot from you. I have enjoyed every single moment of it, and I thank all of you for that.

Well, nothing else.
Admiring you sincerely,
Eduardo López Hinton.",2011-05-23 15:46:00
gameslice:p59:c4,59,4,Kelly,"I didn't ""get"" Portal until some time after the ""Potato"" ARG. Would have liked to have seen some information about that, but overall this was a really great read. I liked seeing inside of minds of the creators of Portal 1 and 2. Makes me want to play both over and over again!",2011-05-23 15:17:00
gameslice:p59:c5,59,5,Floris van Deursen,awsome!,2011-05-23 15:15:00
gameslice:p59:c6,59,6,nock joock,"I'm korean.
Oh. Thank you. PORTAL2 is very very very very fun.
This is GOD GAME.
Oh I love valve TT.",2011-05-23 15:04:00
gameslice:p59:c7,59,7,PyroTails,"This was a really good read, thanks for making this.",2011-05-23 14:55:00
gameslice:p59:c8,59,8,Sorayahya,Its pretty good but It could have been better if there were more videos than Words you know its hard most of the people to understand by word and its much easier to understand in videos,2011-05-23 14:45:00
gameslice:p59:c9,59,9,Yuri,"Great game and great book - read it all night long! Love both Portals and I can't say, which one is better. They are both great, each in their own way. Thank you so much, Valve! I can't even imagine how hard it was - to make a chef-d'oevre's like this. Good luck with your future titles!",2011-05-23 14:31:00
gameslice:p59:c10,59,10,ReDrUmNZ,"Great read and I enjoyed the Digital Magazine's layout/presentation. A couple of pet peeves however in regards to the Adobe AIR app on the Steam store.
 The text when in Fullscreen mode scales poorly and looks blurry. It would be better to output the text with Antialiasing for Readability rather than Antialiasing for Animation. I also noticed that in The Power of Paint section (page 5 of 9) the text isn't antialised at all and looks very jagged. There are also a couple of minor spelling/grammar mistakes. Please take this as a constructive ctritique rather than critisism. Overall I enjoyed the read and the app :)",2011-05-23 13:59:00
gameslice:p60:c1,60,1,DaFreak,"God ><
Talk about a cliffhanger. Can't wait to look back at this stoneage in 5 years while playing this top secret project Gabe mentioned... although, since this is Valve we are talking about, we should probably make that 7 or 8 years right? ;)

Bring it on Valve! Love you guys & girls for putting yourself through the crunch for us. Respect! Please don't ever get sick of making these awesome games for i know i will never get sick of playing them. 

On a sidenote though;You scared me quite a bit when mentioning that you are going to stop making games with an isolated SP component. Versus and co op modes are great but other people always distract from the story even if it's your best friend. You guys are the masters, the kings, no the godkings(!) of story telling. I like L4D and TF2 and portal 2s Co-op mode. They r better than most other games out there in their own right. But they can't hold a candle to the works of art you craft in SP. I hope you realize how special you guys are in that playing field and aren't planning on throwing that out of the window in favor of fun. I want to play more movies :( I don't just want to have fun. I want to cry damnit ><

Episode 2 and especially ep2s ending was the most epic, mind blowing experience i have ever had the pleasure of experiencing in a videogame. Tell more stories. Toy with our emotions. Make our jaws hit the floor. (no pressure :p)

PS: I can't not mention it sorry... where is ep3/HL3? :p",2011-05-23 13:56:00
gameslice:p60:c2,60,2,Michael,"Thank you for making this app. A wonderfully written story with insight into one of the greatest creative forces of our time. Thank you, thank you, thank you.",2011-05-23 13:21:00
gameslice:p60:c3,60,3,Lorenzo Moro,"Very nice product, I'd suggest to everyone to buy it! Noce job!",2011-05-23 13:02:00
gameslice:p60:c4,60,4,Ralph,"Brilliant, so much work, effort and love put into a thing of beauty. who said games can't be art?!

i tip my hat to you VALVe, may you make more amazing games in the future.",2011-05-23 12:59:00
gameslice:p60:c5,60,5,Billy Burton,"All i can say isthat was a great read, i mean i love valve and this gave a more indeph view of the company and of corse portal 2.
this was a great thing and i realy hope i start to see more things like it",2011-05-23 12:34:00
gameslice:p60:c6,60,6,Maximilian Tarozzi,"Good job guys, as always. When did you release Half Life 3...!?",2011-05-23 12:01:00
gameslice:p60:c7,60,7,Cammaster,"well worth 2 quid, really interesting and fun",2011-05-23 11:58:00
gameslice:p60:c8,60,8,Michael P,"I've been playing Valve games since the original Half-life first came out, even to this day that was one of my all time favourite games. Its been more than a decade since Half-life 1 was released and Valve are still making amazing games, with beautiful graphics, story lines that ingross the player so well and with the Portal series wonderful black humor which compliments the gameplay so well. And I hope Valve continue to make amazing games like these for the next hundred generations of gamers.",2011-05-23 11:02:00
gameslice:p60:c9,60,9,Matt,"Excellent read, and wonderful interactivity.  I only wish you could have made a version for smaller iOS devices as well.  I loved reading it on PC, though many of the words felt low definition and intended for iPad instead of PC's.  It would've been great fun reading something similar on my iTouch, though, granted you'd have to make it many pages longer.  Thanks for making this!",2011-05-23 09:23:00
gameslice:p60:c10,60,10,Flashjack5225@gmail.com,"I keep my wallet closed to many things, but I am glad i spent the 2 dollars on this. It is a beautifully written piece of work. As an avid portal 2 fan, and self-proclaimed geek, this piece really captivated me, it is 4AM, and i should have gone to bed 3hours ago. 

My Home is one of the only ones standing for 2 blocks in Jefferson county Alabama, and this is only my 3rd night since the tornadoes of april 27th to have internet. (that self-proclaimed geek comment from earlier should give a good idea of how hard the time without internet has been) Thank you Mr. Keighley for such an amazing piece, that allowed some people like myself, to see first hand the amazingness of valve. One of the first Computer games I ever got into was Counterstrike, and even after I became fascinated with portal, I never took the time to look up anything on valve. You have given a vivid ""portal"" (see what I did there?.... no?... well nvm..) view into Valve for readers like myself.  

I will highly recommend any and all of my friends to grab this piece of gamer-informative literature for themselves.",2011-05-23 09:02:00
gameslice:p61:c1,61,1,Cypher,Nice! I loved the book! Also I love portal 2!,2011-05-23 08:17:00
gameslice:p61:c2,61,2,Jack Sch.,"I remember my virst experience with a Valve game. Our high school had an awesome computer construction teacher who had a bunch of computers set up for LAN play. when i was in 6th grade i walked into the room, i dont remember why i was there, and saw the teacher and a bunch of high school students playing ""An awesome new game"" Team Fortress Classic. I watched for a bit and was asked if i wanted to play. It was the first time i had ever played a FPS on the computer and it was amazing. Ive been hooked on Valve games from then on.",2011-05-23 08:16:00
gameslice:p61:c3,61,3,sh,Many of the interactive itmes and polls don't work or show up in the Steam edition on Windows 7 with Adobe Air.,2011-05-23 07:44:00
gameslice:p61:c4,61,4,Joe M.,"Once again, Valve raises the bar. This interactive book was the perfect medium to grace us with a glance into Valves world. As usual, keep up the great work Valve, your company and staff are truly amazing.  Geoff, hats off to you for writing such a great documentary, loved every page!",2011-05-23 07:08:00
gameslice:p61:c5,61,5,Nate,Thanks! Great read!,2011-05-23 06:35:00
gameslice:p61:c6,61,6,Mozziedoo,Its really awesome. And by that i mean awesome as minecraft and terraria. They're both EPICNESS!,2011-05-23 06:20:00
gameslice:p61:c7,61,7,Justin Allison,"Getting another chance to dive into the minds of Valve once more, with the highest regard and thanks for Mr. Keighly, has brought light once again to my life. Every time I read a piece like this, or learn the history of something that happened during my lifetime, it makes me rethink my life, and want to completly change the direction I'm going in. While I sit here, staying up far later than I should, and knowing that I need to be awake at five in the morning, I can't help but think of the countless possibilities (a phrase that I use on several occasions throughout the day) that lie in the future. I look forward to the next big ""thing"" that is going to come out, and I would like to wish everyone involved, good luck, and thank you.",2011-05-23 04:44:00
gameslice:p61:c8,61,8,seasick,I loved both Portal games and this was really interesting to read. The AIR interface is annoying but the content made it worth tolerating. I'd be interested in seeing more content like this in the future but I'm also hoping for more portal 2 content as DLC :),2011-05-23 04:33:00
gameslice:p61:c9,61,9,Michael D.,Very informative. Definitely going to be following what Valve is going to be doing the next five years. Can't wait to hear more about F-Stop. Very interested in what it might be. Very interested.,2011-05-23 04:13:00
gameslice:p61:c10,61,10,Brian,"Great app, great design, and a wonderful look inside a world class company. I loved every page and recommended the app to friends! Fascinating stuff!",2011-05-23 04:01:00
gameslice:p62:c1,62,1,UnclGhost,"Very nice. I was amazed by how much of this stuff they seem to make up as they go along. Too bad F-STOP's new concept wasn't laid out, but I'm sure we'll see it at some point.

I might have been a little biased on the poll that asks what you thought of Portal 2, though, because it comes right after a section that garners reader sympathy for Valve's hardworking team.",2011-05-23 03:54:00
gameslice:p62:c2,62,2,abearden,That was entertaining. Thanks for making this  available on steam and not just for ipad owners.  I already thought valve was amazing.  Seeing the panoramic view of their workspaces (with accompanying Herman Miller Aeron chairs to boot) made me very jealous.,2011-05-23 03:45:00
gameslice:p62:c3,62,3,David Seigel,"It was very interesting to learn about how Valve operates to foster their creativity and innovation. Looks at the earlier versions of the game and why they were percieved to not work were great.

The video with Mr. Newell talking to the high schoolers was actually very interesting, thank you for including it.",2011-05-23 03:36:00
gameslice:p62:c4,62,4,Felipe Delfino,"Great read. I wonder when we'll have ""The Final Hours of HL-3"".",2011-05-23 02:58:00
gameslice:p62:c5,62,5,Douglas,"Portal 2 is one of those few games that are absolutely worth every penny! I had little idea about how hard it is to make a game, but had no idea there were some many twists, and creative problems to solve.
It really makes you appreciate more the writers and designers of a game.
Btw, amazing read, hope there is more in the future!",2011-05-23 02:46:00
gameslice:p62:c6,62,6,Lee Cannon,"This Final Hours Of Portal 2 was great insight, i love the games, i love valve and i hope one day i can work in the valve studios, graduating in 2 weeks, look out here i come!",2011-05-23 02:45:00
gameslice:p62:c7,62,7,Mike,"That was a very interesting read, but I'd like to know even more!  In particular, I'd like to hear how Valve's development and implementation of the Potato ARG played out.  How well did they coordinate with the potato sack game developers?  Were ARG participants solving it to quickly or too slowly?  Did they intend to create a launch sequence that would release the game after a certain amount of time?",2011-05-23 02:40:00
gameslice:p62:c8,62,8,DenizenBlue,"That... was... amazing... It's so cool to see one of my favorite games of all time being built from the ground up. I have no doubt that I'll make my way through this documentary time and time again just for that experience; in much the same way as I have, and will continue to, play through Portal 2 over and over and over again...",2011-05-23 02:34:00
gameslice:p62:c9,62,9,Terry Trent,"I very much enjoyed this.  It is always interesting to read how great things are done, whether it be software, hardware, games or computers.",2011-05-23 02:24:00
gameslice:p62:c10,62,10,Jacob Briggs,"Valve are the reason I am studying games modelling and animation at university in Derby UK. Half-Life 2 woke something inside me the first time I played it. Now as I near the end of my first year, I will not stop until I am working at Valve or similar with the same raw passion that I have become addicted to.",2011-05-23 02:18:00
gameslice:p63:c1,63,1,Jeremy Davidson,"This was an amazing story.  Gabe Newell, you are man of the next 10 years.  I had no cllue Gabe would be a person of awesomness. This is a great story for upcoming game designers.  WOO WOO!",2011-05-23 02:13:00
gameslice:p63:c2,63,2,T1ND3R,"This provided wonderful insight into Valve's creative process. 
Valve's impact on the gaming industry will be felt for years to come.
Great job.",2011-05-23 02:12:00
gameslice:p63:c3,63,3,SGx,"Really excellent. I'm so attatched to this game, and to the company as a whole, that this was a really fantastic touch. Thank you Valve!",2011-05-23 02:00:00
gameslice:p63:c4,63,4,Finalsights,I've spent the last 5 years worrying about whats going to happen to all the magazines and newpapers in the world. After reading this I'm positive that this is the next step in our progressively paperless world. Without much surprise it's valve that turned over a new leaf. Great job!,2011-05-23 01:58:00
gameslice:p63:c5,63,5,Chell,OMG!,2011-05-23 01:52:00
gameslice:p63:c6,63,6,Patrick Benjamin,"That was fantastic. I love reading about the game industry especially when it involves a company as amazing as Valve.

Thankyou for this.",2011-05-22 22:49:00
gameslice:p63:c7,63,7,Patrick Benjamin,"That was fantastic. I love reading about the game industry especially when it involves a company as amazing as Valve.

Thankyou for this.",2011-05-22 22:49:00
gameslice:p63:c8,63,8,ohellooo,I am in love with valve.,2011-05-22 22:46:00
gameslice:p63:c9,63,9,Opsatcat,"Wow! Great story, defianatlly worth my money",2011-05-22 22:44:00
gameslice:p63:c10,63,10,YouKnow,Very interesting.  I loved the Two Bots One Wrench videos.,2011-05-22 22:41:00
gameslice:p64:c1,64,1,Ryan,"Nice read, if only I had an ounce of talent that these people have.",2011-05-22 22:26:00
gameslice:p64:c2,64,2,Kay Sindre Skogseth,"This was some heavanly tidbits.
Good stuff. 
Portal 2 gave me such a nerdboner.",2011-05-22 22:24:00
gameslice:p64:c3,64,3,Shane McCafferty,Excellent. Well done!,2011-05-22 22:08:00
gameslice:p64:c4,64,4,Ryan,Great read.,2011-05-22 21:09:00
gameslice:p64:c5,64,5,Adam,Awesome read. It shows what was really going on at Valve while we were criticizing them for yet again delaying a game.,2011-05-22 21:07:00
gameslice:p64:c6,64,6,Chad,"I'll admit, this was a great story to read about Portal 2. I am still enjoying the crap out of the game and it is hands down my favorite game of 2011 so far! Great job, Valve!",2011-05-22 20:56:00
gameslice:p64:c7,64,7,Cuyler,"Really great job on everything! This was fun to read and the interactive elements were really cool. I think a lot of people have seen a picture or two from inside the valve offices, but this was more like walking around inside and getting a good feel. I hold valve very highly over any other developer and I have always loved their games, thank you for such an inside look at such a great company!",2011-05-22 20:40:00
gameslice:p64:c8,64,8,Vicktorlive,Portal 2 is AWESOME!,2011-05-22 20:27:00
gameslice:p64:c9,64,9,Blackwolf,"Just bought this. SO. WORTH. IT.

I know so much more. And most of this will help me train to get a job at valve :D",2011-05-22 20:25:00
gameslice:p64:c10,64,10,Saphira,My two bucks was well spent.,2011-05-22 20:08:00
gameslice:p65:c1,65,1,LOLZORZ,WORTH IT,2011-05-22 20:05:00
gameslice:p65:c2,65,2,Lloyd Tripp,Awesome,2011-05-22 19:54:00
gameslice:p65:c3,65,3,ZomBear,Спасибо большое :) отличная работа,2011-05-22 19:49:00
gameslice:p65:c4,65,4,Kaze Lee,Thanks for this! And Portal 2 must be the gane of this year!,2011-05-22 19:49:00
gameslice:p65:c5,65,5,Master Devwi,"This is an amazing piece of work. It was extremely entertaining. It's nice to get a behind-the-scenes look at one of the greatest games in recent memory, if not all time.",2011-05-22 19:44:00
gameslice:p65:c6,65,6,Joseph,"Very good, as is everything Valve does.",2011-05-22 19:35:00
gameslice:p65:c7,65,7,Danil,Very good work!),2011-05-22 19:24:00
gameslice:p65:c8,65,8,ZEIGHY,"Didn't really read, just looked at the stuff, as I always do... Great insight BTW! Maybe I'll read this deeper later... heh! Love it! I've done Portal 2 and it was great! I still want to see more of Portal (Portal 3?) in the years to come, maybe not soon, but yes, I'd wtill want more... and maybe more ARG? heh",2011-05-22 19:07:00
gameslice:p65:c9,65,9,Nikola,"Great. Well written. Well designed. Loved the look behind the scenes. This book is like the part in Portal 1 when you go behind the pristine chambers and see how everything works.

Thanks.",2011-05-22 19:01:00
gameslice:p65:c10,65,10,Tunod,"This was an absolutely fascinating read. I always love behind-the-scenes stuff. Somehow, I missed that ""Now I Only Want You Gone"" is a breakup song, but knowing that, I actually like it a little more. I'd love to try F-STOP some time.",2011-05-22 18:55:00
gameslice:p66:c1,66,1,Zambo,"I read through it twice to be sure i got everything. It was a really good read. Learning about the ""behind the scenes"" in a game makes it that much better for me. Great job!",2011-05-22 18:52:00
gameslice:p66:c2,66,2,FatBaby,Great read!  When can we expect the Fianl Hours of Half-Life 3?,2011-05-22 18:50:00
gameslice:p66:c3,66,3,Denis Anfruns,"The Final Hours is great, congratulations. ;)",2011-05-22 18:42:00
gameslice:p66:c4,66,4,Mr. Man,Good book. Very Interesting. Waiting fo a Half Life 3...,2011-05-22 18:38:00
gameslice:p66:c5,66,5,Zach,Great Book for a great price!,2011-05-22 18:35:00
gameslice:p66:c6,66,6,Rapido,Nice work! Really like to read how Valve does it :),2011-05-22 18:35:00
gameslice:p66:c7,66,7,Brian,"Wonderful inside look into the making of Portal 2, and Valve as a whole. Also, thank you for porting ""The Final Hours of Portal 2"" to the Steam library and not keep it an iExclusive. Not all of us geeks own iDevices (I say from my macbook pro :P)",2011-05-22 18:23:00
gameslice:p66:c8,66,8,Kurt,"This is an awesome read, it really gives an insight into how Valve works.",2011-05-22 18:20:00
gameslice:p66:c9,66,9,Enraged,"Brilliantly written, incredibly entertaining. If it had been longer, I would have kept reading! At $2 this is worth every cent!",2011-05-22 18:15:00
gameslice:p66:c10,66,10,A,"This was an excellent, and insightful read. Well done.",2011-05-22 18:13:00
gameslice:p67:c1,67,1,KaTiON,"Valve, the architects of awesome games!",2011-05-22 18:11:00
gameslice:p67:c2,67,2,Adam,"Excellent read, I too would work for Valve if teeth grinding wasn't a huge requirement.",2011-05-22 17:54:00
gameslice:p67:c3,67,3,Noel (Elttab Cleon),Man you guys are awesome. I hope that when I am older I will be able to make games half as good as yours. Please keep up the fantastic work.,2011-05-22 17:45:00
gameslice:p67:c4,67,4,Adam,Just finished it. That was awesome. Very inspiring. It was great seeing behind the scenes of Aperture Science and VALVe and I love the polls and interactive stuff throughout the book. Half-Life 2: Episode 3 please.,2011-05-22 17:44:00
gameslice:p67:c5,67,5,Christian,"Very interesting,nice pics and videos",2011-05-22 17:42:00
gameslice:p67:c6,67,6,Wordy,Awesome read. Any chance you\'d go back and make a multimedia version of The Final Days of Half-life 2?,2011-05-22 17:35:00
gameslice:p67:c7,67,7,Sashka,Good work!!!,2011-05-22 17:06:00
gameslice:p67:c8,67,8,Ethan,"This was a great book to read. I really enjoyed being able to learn about the creation of one of my all-time favorite games. I read this book, and then re-read it because it was so amazing. Do more!    ;D",2011-05-22 16:56:00
gameslice:p67:c9,67,9,Rubin,"Loved it, thank you for this !!",2011-05-22 16:55:00
gameslice:p67:c10,67,10,Interesting concept...,...but the navigation (at least on Mac with trackpad) is abysmal,2011-05-22 16:47:00
gameslice:p68:c1,68,1,Josh,"It now truly seems that working in the video game industry is as astonishing as it sounds. Tremendous job on the story, and a huge congratulations to Valve for continuing to blow us away time and again.",2011-05-22 16:42:00
gameslice:p68:c2,68,2,Brandon,"One of the things that really struck me about this story was how the Jewish employees, people who you would think would be ""pure,"" came up with a game that alluded to ""Two girls, One cup."" Doesn't that go against pretty much everything they believe in? Anyway, overall I have to say that it was a great read. 

Oh and one comment towards my feelings towards Valve single player games. The one thing that has consistently been a let down for me is that the single player games always left me wanting more. Most multiplayer games, like Left 4 Dead 2, have the replayability factor that single player games just don't have. I really like the Co-op in Portal 2 and how it has the potential to expand, so I was wondering if that would be possible with Half Life 3. I don't mean like a new story line, but the ability to play the game in co-op mode and the option for the community to make more co-op levels for it would be really cool. There's a game called synergy that tries to do half-life 2 co-op but it's super glitchy and there are barely any servers that support it. So,in conclusion,  it would be pretty awesome if valve could make single player  games have a multiplayer option.",2011-05-22 16:35:00
gameslice:p68:c3,68,3,Liam,"I'm now late for a party because this damn book was too interesting. I really want a job at valve now, wonder if they're looking for any young writers.",2011-05-22 16:33:00
gameslice:p68:c4,68,4,Bezza,"A great read and an amazing insight into what goes on over at valve.

I would love to see more of these.",2011-05-22 16:32:00
gameslice:p68:c5,68,5,Mikee,Amazing ebook! Would have liked more tech/for programmers stuff tho :),2011-05-22 16:12:00
gameslice:p68:c6,68,6,Sten,Portal is so cool but come on and relase Half-Life 3!!! :),2011-05-22 16:00:00
gameslice:p68:c7,68,7,Samuel,Awesome piece of work. Totally worth my 2 bucks.,2011-05-22 15:45:00
gameslice:p68:c8,68,8,Justin (nightcabbage/KillSmith),"Geoff, I feel like you MUST be a huge Valve fan like the rest of us, because really you've taken a page right out of their book of ""entertainment as a service"". This is the future of journalism. Glad someone finally found it.",2011-05-22 15:26:00
gameslice:p68:c9,68,9,Erik,Interesting look at the madness that goes on in making just one of your many great games.,2011-05-22 15:25:00
gameslice:p68:c10,68,10,KST,"Great read, i will be waiting for more of your best games ever.",2011-05-22 15:19:00
gameslice:p69:c1,69,1,Jesse,"Just great to see a games company put so much effort into the documentation and retelling of their story. This, accompanied with the in-game commentry, gives such an inspiring insight into the effort and emotion thse people put in over years to create a AAA product. Thanks for writing this Geoff(and porting it to PC!).",2011-05-22 15:19:00
gameslice:p69:c2,69,2,Bjorn,Glad i brought this. I really liked it!,2011-05-22 15:06:00
gameslice:p69:c3,69,3,Pedro Fonseca,"Fantastic Value, lovely to read, thank you Valve!

Do keep on with your drive. You're the best around and certainly my favourite  games developer. 

Please bring out HL3 :)",2011-05-22 15:02:00
gameslice:p69:c4,69,4,Johan,"Great read, even felt a bit sad when I realized I had gotten to the last page! I'm actually working on making an Android game now by myself, and I too feel that while making the general game engine is easy enough, I'm having a lot more trouble trying to come up with a interesting story and designing stages that are fun to play!

Also I should find someone to play Portal 2's coop mode with me, haven't gotten around to it yet. Though I must admit I prefer single-player games because I can just pick the game up and play any time I want. So I hope single player games won't die out or anything like that!",2011-05-22 15:01:00
gameslice:p69:c5,69,5,leonid,fuckin book,2011-05-22 15:00:00
gameslice:p69:c6,69,6,Andrew,This was awsome. MAKE MORE FINAL HOURS.,2011-05-22 14:59:00
gameslice:p69:c7,69,7,AlanRappa,Awesome insight into the creative process behind such an incredible game. Thanks,2011-05-22 14:59:00
gameslice:p69:c8,69,8,Sobe,Nice read i hope they make Half Life 3 next.,2011-05-22 14:48:00
gameslice:p69:c9,69,9,Ryan,"This was fantastic, in fact I think Geoff that this is something you should make into a series for games like Halo or GTA. Bravo mate!",2011-05-22 14:47:00
gameslice:p69:c10,69,10,Rafael,"This is very inspiring and interesting!
 I'm looking forward to Valve's next game, take your time because we, valve's fans, will be waiting ^^",2011-05-22 14:34:00
gameslice:p70:c1,70,1,André,Thank you for this inspiring and incredibly fun read.,2011-05-22 14:32:00
gameslice:p70:c2,70,2,Lesani,"Thanks for the insights on Portal development and Valve, hope to see more of this on future valve games :)",2011-05-22 14:12:00
gameslice:p70:c3,70,3,MrSarnisch,"A very interesting look at one of the most exciting game in the last years. 
I hope to see more like this in the future.",2011-05-22 13:51:00
gameslice:p70:c4,70,4,Luis,"Loved the insights from everyone involved in creating this marvellous game. Thanks, Valve and Geoff, for taking us behind the scenes, and thank you for publishing it on Steam for those of us without an iPad.",2011-05-22 13:40:00
gameslice:p70:c5,70,5,3D-FRIMEN,Да) Пора бы уже порадывать игроков и новостью о Episode Three ),2011-05-22 13:36:00
gameslice:p70:c6,70,6,JOC,"A unique insight into the real work and talent behind the game, and shows that Valve really are at the top of the tree when it comes to needing everything to be just right. Good doesnt seem to be good enough :)
Now.... back to work people !!",2011-05-22 13:33:00
gameslice:p70:c7,70,7,Matthew,"Man, I want to see F Stop made. Portal 2 was good, very good. And it was important that it was done (as a Portal sequel) first. But I would like to see something new. 

2 Bots 1 Wrench also looks darn good, and I'd like to play that as well. Maybe instead of an Aperture setting, it could be a Team Fortress 2 spin-off?

Overall, great job on the game, great job on the book. It's always such a pleasure!",2011-05-22 13:12:00
gameslice:p70:c8,70,8,Simon,Great book! inspireing and the money worth!,2011-05-22 13:11:00
gameslice:p70:c9,70,9,Scott,"After 10 years of game development, playing through Portal 2 and reading the process behind it in this document inspires me to be a better game developer.  I'd like to think that I'm good at what I do, but reading how cognizant the people at Valve are of every facet of what goes into making good games...  I have so much more to learn.

I really hope that I'm at their level someday.",2011-05-22 13:05:00
gameslice:p70:c10,70,10,Malcolm,"Got both the ipad and Steam versions of this. Excellent read for fans and non-fans alike. I now kind of wish there were more ""comprehensive making of"" e-books available online in general. Great Work Mister Keighley :)",2011-05-22 12:52:00
gameslice:p71:c1,71,1,Bronson,"It's amazing. Great work.
Could you put half life 2 final hours on Steam?",2011-05-22 12:51:00
gameslice:p71:c2,71,2,Ikufumi,"It was surely fun to read, but I'm also happy to have found many examples or lessons that I believe to become useful in my life. (my job is far from game industry.)",2011-05-22 12:41:00
gameslice:p71:c3,71,3,John,"Love it, also very cool polls, next stop; Half-life 3 and after that CS 2, and after that......",2011-05-22 12:35:00
gameslice:p71:c4,71,4,blitzyuk,I must admit i was a bit unsure about getting this but after reading it i have to say its a fantastic insight into valve and their constructive processes to achieve and create one if not the best game of the year. I will be looking forward to reading the next and thankyou for sharing this with us.,2011-05-22 12:31:00
gameslice:p71:c5,71,5,Elad,nice!!!,2011-05-22 12:30:00
gameslice:p71:c6,71,6,Michael,"No sleep! Go to work! Half-Life 3, NOW!",2011-05-22 12:29:00
gameslice:p71:c7,71,7,Estella,"This was amazing. It probably would've felt better on an OS X product, but still. Jeez.",2011-05-22 12:22:00
gameslice:p71:c8,71,8,Tim,Always interesting peeping inside the sausage factory ;),2011-05-22 12:16:00
gameslice:p71:c9,71,9,Tarq,1 word: Awesome,2011-05-22 12:15:00
gameslice:p71:c10,71,10,VintorezRUS,"Lets sing a song

Well here we are again",2011-05-22 12:13:00
gameslice:p72:c1,72,1,Brett,Thanks for putting this together. Just show how much of yourselfs you guys must of poured into this. Well done !,2011-05-22 11:58:00
gameslice:p72:c2,72,2,strike_neko_squad,"Great, but it is buggy a bit",2011-05-22 11:53:00
gameslice:p72:c3,72,3,Anna,"This was (and is) amazing. I can't wait to see what Valve is up to. I have never heard about a company this great. In Germany, we have an expression: ""Herzblut"". It is used to describe the deep effort you put into something - something that fulfills you completely, that you love so much that you concentrate your whole being into it. When I think about Valve, and play the games they made, it has Herzblut written all over it.",2011-05-22 11:41:00
gameslice:p72:c4,72,4,Matt,"It's great, but what would be better is if they released some of those levels they finished but never released, like with deleted scenes on DVD's",2011-05-22 11:36:00
gameslice:p72:c5,72,5,Tymofey,Makes me want to work in Valve,2011-05-22 11:28:00
gameslice:p72:c6,72,6,Dosy,More ispiration to someday become a game developer.,2011-05-22 11:24:00
gameslice:p72:c7,72,7,GOD DAMMIT!,GIVE US HL3 GOD DAMMIT I'M GONNA DIE BEFORE SEE BOREALIS!,2011-05-22 11:00:00
gameslice:p72:c8,72,8,Mat,"Superlative, thanks!",2011-05-22 10:36:00
gameslice:p72:c9,72,9,Daniel (RainbowKisser),BEST GAME IV EVER PLAYED BEST BOOK IV EVER READ! KEEP IT UP CHEERS,2011-05-22 10:09:00
gameslice:p72:c10,72,10,Cameron,"Simple, informative, and beautifully done.

It also leaves many options to improve on this already excellent app! *wink*",2011-05-22 09:58:00
gameslice:p73:c1,73,1,NondoX,"What a brilliant insightful read. Only at Valve could something as great as this be  allowed!
To all the cabals well done and thankyou for Portal 2.",2011-05-22 09:56:00
gameslice:p73:c2,73,2,wirehack7,"It's a amazing book for a amazing game. I love the idea to give a inspirating book to us. And to see how the developing process started. Keep it up Valve, I am looking forward for your next creations!",2011-05-22 09:49:00
gameslice:p73:c3,73,3,Brendan,What a fantastic read. I thouroughly enjoyed it from start to finish. I'm so glad it was released on Steam and I had the opprtunity to read it. A great look behind the scenes and it's made me feel all inspired.,2011-05-22 09:42:00
gameslice:p73:c4,73,4,Michael,"Glad that whole rapture thing didng go down, otherwise I may have not had a chance check this out. What a great way to get a behind the scenes look!",2011-05-22 09:20:00
